country,mean,std
West Bank and Gaza,34.733333333333334,0.87749643873921
Montenegro,34.61176470588235,3.9894990839924334
Italy,34.608695652173914,0.7147237504978359
Sao Tome and Principe,34.53333333333334,5.379900866496828
Spain,34.47272727272727,1.1976889723375042
Myanmar,34.4,5.232590180780452
Indonesia,34.391999999999996,2.999294361456816
Tajikistan,34.36666666666667,2.9012928152808013
Greece,34.30434782608695,1.1001976107085016
Jordan,34.3,1.8885620632287068
Serbia,34.3,4.214636152117621
United Kingdom,34.24090909090909,1.6413290465232877
Barbados,34.1,
Australia,34.044444444444444,0.7178285155786006
Romania,34.0,3.0725998055746513
Tonga,33.95,4.959502663238188
Uzbekistan,33.9,1.6145174717749793
Lebanon,33.55,2.474873734152915
Canada,33.15,1.0441446716035545
Mongolia,33.099999999999994,1.2922847983320078
Switzerland,32.945,0.8756801867540926
"Korea, Rep.",32.85454545454545,1.3125270559981914
Estonia,32.833333333333336,2.006872251012519
Bosnia and Herzegovina,32.525,1.7423642940939
Bangladesh,32.4,0.9974968671629991
Kiribati,32.4,6.505382386916236
Nauru,32.4,
Poland,32.31666666666667,2.5497939672378056
Japan,32.3,1.0206207261596583
Cyprus,32.295,1.7397746375532905
Ethiopia,32.275,2.294013949390893
Luxembourg,32.15416666666667,1.5764514820831996
France,31.933333333333334,1.0395093602969274
Ireland,31.82608695652174,1.4725418318812957
Albania,31.372727272727275,1.9026775392014852
Armenia,31.169565217391302,3.1354910855918723
Croatia,31.010526315789477,1.3884022539283976
Germany,30.88095238095238,0.8634923552753951
Timor-Leste,30.8,4.439594576084623
Moldova,30.6375,4.467254044225845
"Egypt, Arab Rep.",30.6375,1.4870272357963052
Austria,30.3,0.6982972487551743
Pakistan,29.944444444444443,0.9926115946218738
Kazakhstan,29.83809523809524,3.4723876785975647
Malta,29.805882352941175,1.5777636817008167
Kyrgyz Republic,29.712500000000002,2.745005345682607
Hungary,29.45555555555556,2.073990816878594
United Arab Emirates,29.45,4.313351365237941
Iraq,29.3,0.6244997998398393
Azerbaijan,28.360000000000003,4.589444410819242
Netherlands,28.299999999999997,1.15198039198999
Belgium,28.09090909090909,1.5137179365198767
Sweden,28.058333333333334,1.515977706233539
Iceland,27.676470588235293,1.6712754903683238
Algeria,27.6,
Finland,27.504545454545454,0.36836482010724114
India,27.45,1.3916417163432082
Belarus,27.414285714285718,1.9321712435200245
Norway,27.40909090909091,1.5215621956237992
Denmark,27.213636363636365,1.5788167524010925
Ukraine,26.410526315789475,1.8199190265387888
Czechia,26.104761904761908,0.626479201950226
Slovak Republic,25.675,1.6606514257648228
Slovenia,25.213636363636365,1.6762473548987922
